rank,city,state,population2012,population2010,land_area,density,ansi,lat,lon
138,Chattanooga,Tennessee,171279,167674,137.152,1223,2404035,35.0665,85.2471
139,Fort Lauderdale,Florida,170747,165521,34.765,4761,2403640,26.1413,80.1439
140,Rancho Cucamonga,California,170746,165269,39.851,4147,2411514,34.1233,117.5642
141,Santa Rosa,California,170685,167815,41.294,4064,2411827,38.4468,122.7061
142,Port St. Lucie,Florida,168716,164603,113.953,1444,2404558,27.281,80.3838
143,Ontario,California,167211,163924,49.941,3282,2411323,34.0395,117.6088
144,Tempe,Arizona,166842,161719,39.929,4050,2412045,33.3884,111.9318
145,Vancouver,Washington,165489,161791,46.456,3483,2412146,45.6372,122.5965
146,Springfield,Missouri,162191,159498,81.720,1952,2395942,37.1942,93.2913
147,Cape Coral,Florida,161248,154305,105.673,1460,2403990,26.6431,81.9973
148,Pembroke Pines,Florida,160306,154750,33.124,4672,2404502,26.0212,80.3404
149,Sioux Falls,South Dakota,159908,153888,72.964,2109,1267566,43.5383,96.732
150,Peoria,Arizona,159789,154065,174.404,883,2411401,33.7877,112.3111
151,Lancaster,California,159055,156633,94.276,1661,2411620,34.6936,118.1753
152,Elk Grove,California,159038,153015,42.190,3627,2410425,38.4144,121.3849
153,Corona,California,158391,152374,38.825,3925,2410232,33.8624,117.5639
154,Eugene,Oregon,157986,156185,43.723,3572,2410460,44.0567,123.1162
155,Salem,Oregon,157429,154637,47.896,3229,2411764,44.9237,123.0231
156,Palmdale,California,155650,152750,105.961,1442,2411359,34.5913,118.109
157,Salinas,California,154484,150441,23.179,6490,2411768,36.6902,121.6337
158,Springfield,Massachusetts,153552,153060,31.865,4803,619388,42.1155,72.54
159,Pasadena,Texas,152272,149043,42.762,3485,2411380,29.6583,95.1505
160,Rockford,Illinois,150843,152871,61.081,2503,2396405,42.2634,89.0628
161,Pomona,California,150812,149058,22.952,6494,2411454,34.0586,117.7613
162,Hayward,California,149392,144186,45.323,3181,2410724,37.6281,122.1063
163,Fort Collins,Colorado,148612,143986,54.277,2653,2410526,40.5482,105.0648
164,Joliet,Illinois,148268,147433,62.114,2374,2395477,41.5181,88.1584
165,Escondido,California,147575,143911,36.813,3909,2410455,33.1336,117.0732
166,Kansas City,Kansas,147268,145786,124.810,1168,485601,39.1225,94.7418
167,Torrance,California,147027,145438,20.478,7102,2412087,33.835,118.3414
168,Bridgeport,Connecticut,146425,144229,15.974,9029,2378269,41.1874,73.1957
169,Alexandria,Virginia,146294,139966,15.027,9314,1498415,38.8183,77.082
170,Sunnyvale,California,146197,140081,21.987,6371,2412009,37.3858,122.0263
171,Cary,North Carolina,145693,135234,54.345,2488,2406229,35.7821,78.8141
172,Lakewood,Colorado,145516,142980,42.880,3334,2411614,39.6989,105.1176
173,Hollywood,Florida,145236,140768,27.366,5144,2404719,26.0311,80.1646
174,Paterson,New Jersey,145219,146199,8.428,17346,885343,40.9147,74.1628
175,Syracuse,New York,144170,145170,25.043,5797,979539,43.041,76.1436
176,Naperville,Illinois,143684,141853,38.769,3659,2395147,41.7492,88.162
177,McKinney,Texas,143223,131117,62.209,2108,2411064,33.2012,96.668
178,Mesquite,Texas,143195,139824,46.021,3038,2411090,32.7639,96.5924
179,Clarksville,Tennessee,142519,132929,97.603,1362,2404061,36.5664,87.3452
180,Savannah,Georgia,142022,136286,103.151,1321,2405429,32.0025,81.1536
181,Dayton,Ohio,141359,141527,55.652,2543,1086666,39.7774,84.1996
182,Orange,California,139419,136416,24.797,5501,2411325,33.8048,117.8249
183,Fullerton,California,138574,135161,22.353,6047,2410556,33.8857,117.928
184,Pasadena,California,138547,137122,22.970,5970,2411379,34.1606,118.1396
185,Hampton,Virginia,136836,137436,51.413,2673,1498554,37.048,76.2971
186,McAllen,Texas,134719,129877,48.344,2687,2411057,26.2185,98.2461
187,Killeen,Texas,134654,127921,53.580,2387,2411542,31.0777,97.732
188,Warren,Michigan,134141,134056,34.381,3899,1627213,42.4929,83.025
189,West Valley City,Utah,132434,129480,35.556,3642,2412231,40.6885,112.0118
190,Columbia,South Carolina,131686,129272,132.213,978,2404107,34.0298,80.8966
191,New Haven,Connecticut,130741,129779,18.679,6948,2378285,41.3108,72.925
192,Sterling Heights,Michigan,130410,129699,36.505,3553,1627126,42.5812,83.0303
193,Olathe,Kansas,130045,125872,59.661,2110,485633,38.8843,94.8188
194,Miramar,Florida,128729,122041,29.521,4134,2404275,25.977,80.3358
195,Thousand Oaks,California,128412,126683,55.031,2302,2412065,34.1933,118.8742
196,Frisco,Texas,128176,116989,61.804,1893,2410549,33.151,96.8193
197,Cedar Rapids,Iowa,128119,126326,70.799,1784,467567,41.967,91.6778
198,Topeka,Kansas,127939,127473,60.168,2119,485655,39.0362,95.6948
199,Visalia,California,127081,124442,36.246,3433,2412160,36.3272,119.3234
200,Waco,Texas,127018,124805,88.964,1403,2412162,31.5601,97.186
201,Elizabeth,New Jersey,126458,124969,12.319,10144,885205,40.6663,74.1935
202,Bellevue,Washington,126439,122363,31.968,3828,2409821,47.5978,122.1565
203,Gainesville,Florida,126047,124354,61.305,2028,2403676,29.6788,82.3459
204,Simi Valley,California,125793,124237,41.480,2995,2411904,34.2669,118.7485
205,Charleston,South Carolina,125583,120083,108.979,1102,2404030,32.8179,79.9589
206,Carrollton,Texas,125409,119097,36.296,3281,2409992,32.9884,96.8998
207,Coral Springs,Florida,125287,121096,23.792,5090,2404127,26.2708,80.2593
208,Stamford,Connecticut,125109,122643,37.639,3258,2378291,41.0799,73.546
209,Hartford,Connecticut,124893,124775,17.381,7179,2378277,41.766,72.6833
210,Concord,California,124711,122067,30.546,3996,2410214,37.9722,122.0016
211,Roseville,California,124519,118788,36.222,3279,2411000,38.7657,121.3032
212,Thornton,Colorado,124140,118772,34.843,3409,2412064,39.918,104.9454
213,Kent,Washington,122999,92411,28.625,3228,2410185,47.3853,122.2169
214,Lafayette,Louisiana,122761,120623,49.231,2450,2404854,30.2116,92.0314
215,Surprise,Arizona,121287,117517,105.747,1111,2412016,33.6706,112.4527
216,Denton,Texas,121123,113383,87.952,1289,2410323,33.2151,97.1417
217,Victorville,California,120336,115903,73.178,1584,2412156,34.5277,117.3536
218,Evansville,Indiana,120235,117429,44.153,2660,2394710,37.9877,87.5347
219,Midland,Texas,119385,111147,72.071,1542,2411096,32.0299,102.1097
220,Santa Clara,California,119311,116468,18.407,6327,2411816,37.3646,121.9679
221,Athens,Georgia,118999,115452,116.355,992,2407405,33.9496,83.3701
222,Allentown,Pennsylvania,118974,118032,17.546,6727,1215372,40.594,75.4782
223,Abilene,Texas,118887,117063,106.793,1096,2409657,32.4545,99.7381
224,Beaumont,Texas,118228,118296,82.801,1429,2409806,30.0843,94.1458
225,Vallejo,California,117796,115942,30.671,3780,2412142,38.1079,122.2639
226,Independence,Missouri,117270,116830,77.567,1506,2395422,39.0853,94.3513
227,Springfield,Illinois,117126,116250,59.480,1954,2395940,39.7639,89.6708
228,Ann Arbor,Michigan,116121,113934,27.830,4094,1625837,42.2756,83.7313
229,Provo,Utah,115919,112488,41.673,2699,2411499,40.2453,111.6448
230,Peoria,Illinois,115687,115007,48.007,2396,2396178,40.7523,89.6171
231,Norman,Oklahoma,115562,110925,178.763,621,2411267,35.2406,97.3453
232,Berkeley,California,115403,112580,10.470,10752,2409837,37.8667,122.2991
233,El Monte,California,115111,113475,9.562,11867,2410413,34.0746,118.0291
234,Murfreesboro,Tennessee,114038,108755,55.346,1965,2404342,35.8522,86.4161
235,Lansing,Michigan,113996,114297,36.049,3171,1626588,42.7098,84.5562
236,Columbia,Missouri,113225,108500,63.077,1720,2393605,38.9479,92.3261
237,Downey,California,112873,111772,12.408,9008,2410352,33.9382,118.1309
238,Costa Mesa,California,111918,109960,15.654,7025,2410239,33.6659,117.9123
239,Inglewood,California,111182,109673,9.068,12095,2410106,33.9561,118.3443
240,Miami Gardens,Florida,110754,107167,18.231,5878,2404249,25.9489,80.2436
241,Manchester,New Hampshire,110209,109565,33.101,3310,873658,42.9847,71.4439
242,Elgin,Illinois,109927,108188,37.163,2911,2394641,42.0396,88.3217
243,Wilmington,North Carolina,109922,106476,51.493,2068,2405754,34.2092,77.8858
244,Waterbury,Connecticut,109915,110366,28.519,3870,2378294,41.5585,73.0367
245,Fargo,North Dakota,109779,105549,48.821,2162,1036030,46.8652,96.829
246,Arvada,Colorado,109745,106433,35.142,3029,2409737,39.8097,105.1066
247,Carlsbad,California,109318,105328,37.722,2792,2409984,33.1239,117.2828
248,Westminster,Colorado,109169,106114,31.550,3363,2412237,39.8822,105.0644
249,Rochester,Minnesota,108992,106769,54.586,1956,2396395,44.0154,92.4772
250,Gresham,Oregon,108956,105594,23.201,4551,2410663,45.5023,122.4416
251,Clearwater,Florida,108732,107685,25.562,4213,2404067,27.9795,82.7663
252,Lowell,Massachusetts,108522,106519,13.583,7842,618227,42.6389,71.3221
253,West Jordan,Utah,108383,103712,32.457,3195,2412222,40.6023,112.001
254,Pueblo,Colorado,107772,106595,53.641,1987,2411501,38.2731,104.6124
255,San Buenaventura (Ventura),California,107734,106433,21.655,4915,2411779,34.2681,119.255
256,Fairfield,California,107684,105321,37.390,2817,2410474,38.2568,122.0397
257,West Covina,California,107440,106098,16.041,6614,2412219,34.0559,117.9099
258,Billings,Montana,106954,104170,43.413,2399,2409849,45.7895,108.5499
259,Murrieta,California,106810,103466,33.577,3081,2411199,33.5719,117.1907
260,High Point,North Carolina,106586,104371,53.803,1940,2404696,35.9855,79.9902
261,Round Rock,Texas,106573,99887,34.113,2928,2411005,30.5237,97.6674
262,Richmond,California,106516,103701,30.068,3449,2410939,37.953,122.3594
263,Cambridge,Massachusetts,106471,105162,6.385,16469,619396,42.376,71.1183
264,Norwalk,California,106278,105549,9.707,10873,2411281,33.9069,118.0834
